n	ProblemsSolved	QuantileProblemsSolved
313	3	229 (0.095%)
118	50	3320 (1.378%)
314	2	226 (0.094%)
119	55	3270 (1.357%)
315	4	224 (0.093%)
120	63	3215 (1.334%)
316	2	220 (0.091%)
121	56	3152 (1.308%)
317	1	218 (0.09%)
122	58	3096 (1.285%)
318	5	217 (0.09%)
123	41	3038 (1.261%)
319	4	212 (0.088%)
124	47	2997 (1.244%)
320	1	208 (0.086%)
125	62	2950 (1.224%)
321	1	207 (0.086%)
126	51	2888 (1.198%)
322	3	206 (0.085%)
127	47	2837 (1.177%)
323	3	203 (0.084%)
128	57	2790 (1.158%)
324	4	200 (0.083%)
129	46	2733 (1.134%)
325	4	196 (0.081%)
130	51	2687 (1.115%)
326	6	192 (0.08%)
131	58	2636 (1.094%)
327	4	186 (0.077%)
132	48	2578 (1.07%)
328	1	182 (0.076%)
133	58	2530 (1.05%)
329	5	181 (0.075%)
134	38	2472 (1.026%)
330	0	176 (0.073%)
135	40	2434 (1.01%)
331	4	176 (0.073%)
136	36	2394 (0.993%)
332	3	172 (0.071%)
137	41	2358 (0.978%)
333	5	169 (0.07%)
138	23	2317 (0.961%)
334	4	164 (0.068%)
139	29	2294 (0.952%)
335	2	160 (0.066%)
140	43	2265 (0.94%)
336	0	158 (0.066%)
141	35	2222 (0.922%)
337	0	158 (0.066%)
142	48	2187 (0.908%)
338	3	158 (0.066%)
143	36	2139 (0.888%)
339	3	155 (0.064%)
144	28	2103 (0.873%)
340	3	152 (0.063%)
145	29	2075 (0.861%)
341	1	149 (0.062%)
146	29	2046 (0.849%)
342	4	148 (0.061%)
147	33	2017 (0.837%)
343	4	144 (0.06%)
148	16	1984 (0.823%)
344	2	140 (0.058%)
149	18	1968 (0.817%)
345	1	138 (0.057%)
150	48	1950 (0.809%)
346	3	137 (0.057%)
151	44	1902 (0.789%)
347	3	134 (0.056%)
152	39	1858 (0.771%)
348	2	131 (0.054%)
153	32	1819 (0.755%)
349	2	129 (0.054%)
154	30	1787 (0.742%)
350	8	127 (0.053%)
155	37	1757 (0.729%)
351	3	119 (0.049%)
156	27	1720 (0.714%)
352	4	116 (0.048%)
157	34	1693 (0.703%)
353	3	112 (0.046%)
158	27	1659 (0.688%)
354	0	109 (0.045%)
159	16	1632 (0.677%)
355	0	109 (0.045%)
160	29	1616 (0.671%)
356	3	109 (0.045%)
161	29	1587 (0.659%)
357	2	106 (0.044%)
162	22	1558 (0.647%)
358	1	104 (0.043%)
163	20	1536 (0.637%)
359	2	103 (0.043%)
164	21	1516 (0.629%)
360	1	101 (0.042%)
165	24	1495 (0.62%)
361	3	100 (0.041%)
166	29	1471 (0.61%)
362	2	97 (0.04%)
167	23	1442 (0.598%)
363	2	95 (0.039%)
168	16	1419 (0.589%)
364	0	93 (0.039%)
169	17	1403 (0.582%)
365	1	93 (0.039%)
170	23	1386 (0.575%)
366	0	92 (0.038%)
171	14	1363 (0.566%)
367	5	92 (0.038%)
172	16	1349 (0.56%)
368	0	87 (0.036%)
173	17	1333 (0.553%)
369	1	87 (0.036%)
174	18	1316 (0.546%)
370	4	86 (0.036%)
175	26	1298 (0.539%)
371	3	82 (0.034%)
176	23	1272 (0.528%)
372	3	79 (0.033%)
177	20	1249 (0.518%)
373	7	76 (0.032%)
178	22	1229 (0.51%)
374	3	69 (0.029%)
179	21	1207 (0.501%)
375	3	66 (0.027%)
180	18	1186 (0.492%)
376	5	63 (0.026%)
181	14	1168 (0.485%)
377	1	58 (0.024%)
182	13	1154 (0.479%)
378	1	57 (0.024%)
183	15	1141 (0.473%)
379	3	56 (0.023%)
184	12	1126 (0.467%)
380	0	53 (0.022%)
185	8	1114 (0.462%)
381	1	53 (0.022%)
186	13	1106 (0.459%)
382	3	52 (0.022%)
187	13	1093 (0.454%)
383	6	49 (0.02%)
188	13	1080 (0.448%)
384	13	43 (0.018%)
189	18	1067 (0.443%)
385	3	30 (0.012%)
190	22	1049 (0.435%)
386	2	27 (0.011%)
191	9	1027 (0.426%)
387	1	25 (0.01%)
192	15	1018 (0.422%)
388	0	24 (0.01%)
193	19	1003 (0.416%)
389	4	24 (0.01%)
194	11	984 (0.408%)
390	1	20 (0.008%)
195	12	973 (0.404%)
391	19	19 (0.008%)
196	11	961 (0.399%)
